Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Gao et al 2018 (Bioenergy),2018,1,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.034965,-1.429975,55.034965,1,UK,Marine,Temperate,Summer,Temp,Increase,18,4,14,Unknown,0,0,None,None,0,42,0,42,No,Lab,Ind,Yes,Growth,Growth,1,3.4306,0.1677,2.7422,0.2439,(±SD),0.1677,0.2439,Fig. 2,3,3
Gao et al 2018 (Bioenergy),2018,1,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.034965,-1.429975,55.034965,1,UK,Marine,Temperate,Summer,Temp,Increase,18,4,14,Unknown,0,0,None,None,0,42,0,42,No,Lab,Ind,Yes,Reproduction,Reproduction,1,32.7889,4.9262,33.7549,3.1246,(±SD),4.9262,3.1246,Fig.3,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Saccharina japonica,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,15,5,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.593,0.0168,0.59,0.017,(±SE),0.029098454,0.029444864,Fig. 1a,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Saccharina japonica,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,10,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5787,0.0171,0.59,0.017,(±SE),0.029618069,0.029444864,Fig. 1a,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,nns,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,15,5,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5448,0.0308,0.5464,0.0185,(±SE),0.053347165,0.03204294,Fig. 1b,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,nns,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,10,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5448,0.0124,0.5464,0.0185,(±SE),0.02147743,0.03204294,Fig. 1b,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Saccharina japonica,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,5,15,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Growth,Growth,1,43.63,2.22,39.248,4.302,(±SE),3.845152793,7.451282574,Fig. 4a,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,nns,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,5,15,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Growth,Growth,1,92.92,4.89,61.31,4.23,(±SE),8.469728449,7.326574916,Fig. 4b,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Saccharina japonica,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,15,5,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Metabolic Indicators,Electron transport system,1,82.9,8.54,107.35,14.15,(±SE),14.7917139,24.50851893,Fig. 2a,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Saccharina japonica,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,10,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Metabolic Indicators,Electron transport system,1,31.7,7.33,107.35,14.15,(±SE),12.69593242,24.50851893,Fig. 2a,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,nns,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,15,5,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Metabolic Indicators,Electron transport system,1,53.86,9.78,81.23,10.02,(±SE),16.9394569,17.35514909,Fig. 2b,3,3
Gao et al 2019,2019,2,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,nns,34.517497,126.199035,34.517497,1,South Korea,Marine,Temperate,Spring,Temp,Increase,20,10,10,Constant,1,0,None,None,0,5,0,5,No,Lab,Ind,Yes,Metabolic Indicators,Electron transport system,1,61.38,4.42,81.23,10.02,(±SE),7.655664569,17.35514909,Fig. 2b,3,3
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Ind,Yes,Overall Health,Overall Health,1,40.0975,1.6145,45.4362,2.4281,(±SE),8.543130983,12.84829752,Fig. 2a,28,28
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Ind,Yes,Overall Health,Overall Health,1,39.4558,1.9572,57.1928,4.0926,(±SE),10.35652893,21.65600363,Fig. 2b,28,28
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Int,Yes,Overall Health,Overall Health,1,37.3061,1.7899,67.6235,5.729,(±SE),9.471260543,30.31501852,Fig. 2b,28,28
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Xenostrobus securis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Ind,Yes,Overall Health,Overall Health,1,86.9005,1.9789,81.8281,1.1671,(±SE),5.235677269,3.087856355,Fig. 2c,7,7
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Xenostrobus securis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Int,Yes,Overall Health,Overall Health,1,64.8935,4.6048,101.1947,11.1737,(±SE),12.18315564,29.56283142,Fig. 2c,7,7
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Mytilus galloprovincialis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Int,Yes,Respiration,Respiration,-1,87.8527,19.0765,42.7809,2.7591,(±SE),50.47167489,7.299892442,Fig. 4,7,7
Gestoso et al 2016,2016,2,Mollusca,Bivalvia,Xenostrobus securis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,42.265196,-8.728767,42.265196,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,21,5,16,Constant,7,0,None,None,0,22,0,22,No,Lab,Int,Yes,Respiration,Respiration,-1,21.9683,2.3616,18.7393,2.8883,(±SE),6.248206296,7.641723512,Fig. 4,7,7
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,24,4,20,Constant,1,2,Hour 2,Hour,0.166667,30,0,30.166667,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.0438,0.0074,0.0884,0.0341,(±SD),0.0074,0.0341,Fig. 4,3,3
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,28,8,20,Constant,1,2,Hour 2,Hour,0.333333,30,0,30.333333,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.0507,0.0513,0.0884,0.0341,(±SD),0.0513,0.0341,Fig. 4,3,3
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,24,4,20,Constant,1,2,Hour 2,Hour,0.166667,30,0,30.166667,No,Lab,Ind,Yes,Growth,Growth,1,0.2933,0.0722,0.5901,0.0694,(±SD),0.0722,0.0694,Fig. 3b,3,3
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,28,8,20,Constant,1,2,Hour 2,Hour,0.333333,30,0,30.333333,No,Lab,Ind,Yes,Growth,Growth,1,0.2413,0.0678,0.5901,0.0694,(±SD),0.0678,0.0694,Fig. 3b,3,3
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,24,4,20,Constant,1,2,Hour 2,Hour,0.166667,30,0,30.166667,No,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,1,12.5021,0.4069,13.0234,1.8148,(±SD),0.4069,1.8148,Fig. 6d,3,3
Gouvea et al 2017,2017,1,Rhodophyta,Rhodophyta,Laurencia catarinensis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.582592,-48.456915,27.582592,1,Brazil,Marine,Tropical,Autumn,Temp,Increase,28,8,20,Constant,1,2,Hour 2,Hour,0.333333,30,0,30.333333,No,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,1,14.4594,0.718,13.0234,1.8148,(±SD),0.718,1.8148,Fig. 6d,3,3
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Amphiroa anceps,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,1,17,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,1.3245,0.2278,1.4411,0.3762,(±SE),0.394561174,0.651597514,Fig. 4a,3,3
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Amphiroa anceps,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,1,17,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,1.1709,0.1325,1.4411,0.3762,(±SE),0.229496732,0.651597514,Fig. 4a,3,3
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Corallina officinalis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,1,17,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,1.8603,0.1191,2.6575,0.2015,(±SE),0.206287251,0.349008238,Fig. 4b,3,3
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Corallina officinalis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,1,17,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,-0.1375,0.2192,2.6575,0.2015,(±SE),0.379665537,0.349008238,Fig. 4b,3,3
Graba-Landry et al 2018,2018,6,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,8,0,10,No,Lab,Ind,Yes,Growth,Growth,1,40.753,14.872,40.5793,17.3064,(±SE),33.25480296,38.69828685,Fig. 1f,5,5
Graba-Landry et al 2018,2018,6,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,8,0,10,No,Lab,Ind,Yes,Growth,Growth,1,2.0773,16.6694,40.5793,17.3064,(±SE),37.27391154,38.69828685,Fig. 1f,5,5
Graba-Landry et al 2018,2018,6,Heterokonta,Heterokonta,Sargassum linearifolium,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,230.3053,95.4016,200.1562,55.7406,(±SE),213.3244628,124.6397707,Fig. 1d,5,5
Graba-Landry et al 2018,2018,6,Heterokonta,Heterokonta,Sargassum linearifolium,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,50.7426,2.8802,200.1562,55.7406,(±SE),6.440322989,124.6397707,Fig. 1d,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Amphiroa anceps,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,9,0,11,No,Lab,Ind,Yes,Growth,Growth,1,61.6446,8.2642,75.3357,5.0109,(±SE),18.47931298,11.20471303,Fig. 1a,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Amphiroa anceps,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,9,0,11,No,Lab,Ind,Yes,Growth,Growth,1,6.2082,2.9412,75.3357,5.0109,(±SE),6.576723135,11.20471303,Fig. 1a,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Corallina officinalis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,37.5297,4.7506,40.1425,7.8384,(±SE),10.62266453,17.52719523,Fig. 1b,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Corallina officinalis,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,15.9144,3.088,40.1425,7.8384,(±SE),6.904977915,17.52719523,Fig. 1b,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Delisea pulchra,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,15.9203,7.2396,50.0879,12.5744,(±SE),16.18823773,28.11721318,Fig. 1e,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Delisea pulchra,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,24.2071,16.8885,50.0879,12.5744,(±SE),37.76383404,28.11721318,Fig. 1e,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Laurencia decussata,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,26,3,23,Constant,0,1.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,106.5964,9.4608,174.8225,52.9923,(±SE),21.15499192,118.4943851,Fig. 1c,5,5
Graba-Landry et al 2018,2018,6,Rhodophyta,Rhodophyta,Laurencia decussata,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-30.295177,153.140662,30.295177,1,Australia,Marine,Tropical,Autumn,Temp,Increase,28,5,23,Constant,0,2.5,Day,Day,2,14,0,16,No,Lab,Ind,Yes,Growth,Growth,1,54.4133,24.3246,174.8225,52.9923,(±SE),54.39145913,118.4943851,Fig. 1c,5,5
Groner et al 2011,2011,2,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,27,7,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,1.0482,9.7302,37.2625,20.7473,(±SE),32.27142254,68.81100951,Fig. 2,11,11
Groner et al 2011,2011,2,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,27,7,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,33.4483,24.4827,104.1379,56.2069,(±SE),64.77513562,137.678225,Fig. 1,6,7
Groner et al 2011,2011,2,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,20,14,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,-5.3627,7.1164,37.2625,20.7473,(±SE),23.60242866,68.81100951,Fig. 2,11,11
Groner et al 2011,2011,2,Chordata,Tunicata,Didemnum vexillum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,20,14,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,26.2069,22.7586,104.1379,56.2069,(±SE),60.21359579,137.678225,Fig. 1,6,7
Groner et al 2011,2011,2,Chordata,Tunicata,Diplosoma listerianum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,27,7,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,-36.905,19.6599,6.2269,12.2923,(±SE),65.20451172,40.76894691,Fig. 2,11,11
Groner et al 2011,2011,2,Chordata,Tunicata,Diplosoma listerianum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,20,14,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,-3.4483,11.7241,6.2069,3.7931,(±SE),31.01905295,9.291159543,Fig. 1,6,7
Groner et al 2011,2011,2,Chordata,Tunicata,Diplosoma listerianum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.316667,-4.633333,53.316667,1,UK,Marine,Temperate,Summer,Sal,Decrease,20,14,34,Constant,7,0,None,None,0,14,0,14,No,Lab,Ind,Yes,Growth,Growth,1,-16.1081,10.3693,6.2269,12.2923,(±SE),34.39107744,40.76894691,Fig. 2,11,11
Gu et al 2012,2012,2,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,56.716398,8.471352,56.716398,2,Denmark,Marine,Temperate,Spring,Temp,Increase,26,7,19,Flucuating,28,1,Day,Day,7,14,28,49,No,Lab,Ind,No,,,,,,,,,,,,,
Gutow et al 2014,2014,2,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,54.458653,7.261829,54.458653,1,Germany,Marine,Temperate,Spring,Temp,Increase,15,5,10,Constant,3,0,None,None,0,12,0,12,No,Lab,Int,Yes,Feeding Ability,Consumption,1,0.1375,0.0475,0.1429,0.0401,(±SEM),0.150208189,0.126807334,Fig. 5,10,10
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria digitata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,15,3,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6503,0.0014,0.6503,0.0141,(±SD),0.0014,0.0141,Fig. 4c,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria digitata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,18,6,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6234,0.0109,0.6503,0.0141,(±SD),0.0109,0.0141,Fig. 4c,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria ochroleuca,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,15,3,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6984,0.0032,0.6673,0.0362,(±SD),0.0032,0.0362,Fig. 4c,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria ochroleuca,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,18,6,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6875,0.0193,0.6673,0.0362,(±SD),0.0193,0.0362,Fig. 4c,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria digitata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,15,3,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Growth,Growth,1,0.543,0.1562,0.5343,0.1799,(±SD),0.1562,0.1799,Fig. 4a,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria digitata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,18,6,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Growth,Growth,1,0.1579,0.0372,0.5343,0.1799,(±SD),0.0372,0.1799,Fig. 4a,4,4
Hargrave et al 2016,2016,3,Heterokonta,Heterokonta,Laminaria ochroleuca,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Juv,native,50.363149,-4.139673,50.363149,1,UK,Marine,Temperate,Spring,Temp,Increase,15,3,12,Flucuating,0,0,None,None,0,16,0,16,No,Lab,Ind,Yes,Growth,Growth,1,0.9639,0.2247,0.8415,0.095,(±SD),0.2247,0.095,Fig. 4a,4,4
